track,track_original,main_track,year
Distributed Inference,Distributed Inference,Probabilistic Methods,2018
Dynamical Systems,Dynamical Systems,Algorithms,2018
Efficient Inference Methods,Efficient Inference Methods,Deep Learning,2018
Efficient Training Methods,Efficient Training Methods,Deep Learning,2018
Embedding Approaches,Embedding Approaches,Deep Learning,2018
Exploration,Exploration,Reinforcement Learning and Planning,2018
"Fairness, Accountability, and Transparency","Fairness, Accountability, and Transparency",Applications,2018
Few-Shot Learning,Few-Shot Learning Approaches,Algorithms,2018
Frequentist Statistics,Frequentist Statistics,Theory,2018
Game Playing,Game Playing,Applications,2018
Game Theory and Computational Economics,Game Theory and Computational Economics,Theory,2018
Gaussian Processes,Gaussian Processes,Probabilistic Methods,2018
Generative Models,Generative Models,Deep Learning,2018
Graphical Models,Graphical Models,Probabilistic Methods,2018
Hardness of Learning and Approximations,Hardness of Learning and Approximations,Theory,2018
Hardware and Systems,Hardware and Systems,Applications,2018
Hierarchical Models,Hierarchical Models,Probabilistic Methods,2018
Hierarchical RL,Hierarchical RL,Reinforcement Learning and Planning,2018
Human or Animal Learning,Human or Animal Learning,Neuroscience and Cognitive Science,2018
Image Segmentation,Image Segmentation,Applications,2018
Information Retrieval,Information Retrieval,Applications,2018
Information Theory,Information Theory,Theory,2018
Interaction-Based Deep Networks,Interaction-Based Deep Networks,Deep Learning,2018
Kernel Methods,Kernel Methods,Algorithms,2018
Language for Cognitive Science,Language for Cognitive Science,Neuroscience and Cognitive Science,2018
Large Deviations and Asymptotic Analysis,Large Deviations and Asymptotic Analysis,Theory,2018
Large Margin Methods,Large Margin Methods,NF,2018
Latent Variable Models,Latent Variable Models,Probabilistic Methods,2018
Learning Theory,Learning Theory,Theory,2018
Markov Decision Processes,Markov Decision Processes,Reinforcement Learning and Planning,2018
Matrix and Tensor Factorization,Matrix and Tensor Factorization,Applications,2018
MCMC,MCMC,Probabilistic Methods,2018
Memory,Memory,Neuroscience and Cognitive Science,2018
Memory-Augmented Neural Networks,Memory-Augmented Neural Networks,Deep Learning,2018
Meta-Learning,Meta-Learning,Algorithms,2018
Metric Learning,Metric Learning,Algorithms,2018
Missing Data,Missing Data,Algorithms,2018
Model-Based RL,Model-Based RL,Reinforcement Learning and Planning,2018
Model Selection and Structure Learning,Model Selection and Structure Learning,Algorithms,2018
Motor Control,Motor Control,NF,2018
Multi-Agent RL,Multi-Agent RL,Reinforcement Learning and Planning,2018
Multitask and Transfer Learning,Multitask and Transfer Learning,Algorithms,2018
Music Modeling and Analysis,Music Modeling and Analysis,NF,2018
Natural Language Processing,Natural Language Processing,Applications,2018
Navigation,Navigation,Reinforcement Learning and Planning,2018
Network Analysis,Network Analysis,Applications,2018
Neural Coding,Neural Coding,Neuroscience and Cognitive Science,2018
Neuroscience,Neuroscience,Neuroscience and Cognitive Science,2018
Neuroscience and Cognitive Science,Neuroscience and Cognitive Science,Neuroscience and Cognitive Science,2018
Non-Convex Optimization,Non-Convex Optimization,Optimization,2018
Nonlinear Dimensionality Reduction and Manifold Learning,Nonlinear Dimensionality Reduction and Manifold Learning,Algorithms,2018
Object Detection,Object Detection,Applications,2018
Object Recognition,Object Recognition,Applications,2018
Online Learning,Online Learning,Algorithms,2018
Optimization,Optimization,Optimization,2018
Optimization for Deep Networks,Optimization for Deep Networks,Deep Learning,2018
Perception,Perception,Neuroscience and Cognitive Science,2018
Planning,Planning,Reinforcement Learning and Planning,2018
Plasticity and Adaptation,Plasticity and Adaptation,NF,2018
Predictive Models,Predictive Models,Deep Learning,2018
"Privacy, Anonymity, and Security","Privacy, Anonymity, and Security",Applications,2018
Probabilistic Methods,Probabilistic Methods,Probabilistic Methods,2018
Problem Solving,Problem Solving,Neuroscience and Cognitive Science,2018
Program Induction,Program Induction,NF,2018
Quantitative Finance and Econometrics,Quantitative Finance and Econometrics,Applications,2018
Ranking and Preference Learning,Ranking and Preference Learning,Algorithms,2018
Reasoning,Reasoning,Neuroscience and Cognitive Science,2018
Recommender Systems,Recommender Systems,Applications,2018
Recurrent Networks,Recurrent Networks,Deep Learning,2018
Regression,Regression,Algorithms,2018
Regularization,Regularization,Theory,2018
Reinforcement Learning,Reinforcement Learning,Reinforcement Learning and Planning,2018
Reinforcement Learning and Planning,Reinforcement Learning and Planning,Reinforcement Learning and Planning,2018
Relational Learning,Relational Learning,Algorithms,2018
Representation Learning,Representation Learning,Algorithms,2018
Robotics,Robotics,Applications,2018
Semi-Supervised Learning,Semi-Supervised Learning,Algorithms,2018
Signal Processing,Signal Processing,Applications,2018
Similarity and Distance Learning,Similarity and Distance Learning,Algorithms,2018
Software Toolkits,Software Toolkits,"Data, Challenges, Implementations, and Software",2018
Source Separation,Source Separation,NF,2018
Spaces of Functions and Kernels,Spaces of Functions and Kernels,Theory,2018
Sparse Coding and Dimensionality Expansion,Sparse Coding and Dimensionality Expansion,Algorithms,2018
Sparsity and Compressed Sensing,Sparsity and Compressed Sensing,Algorithms,2018
Spectral Methods,Spectral Methods,Algorithms,2018
Speech Recognition,Speech Recognition,NF,2018
Spike Train Generation,Spike Train Generation,NF,2018
Statistical Physics of Learning,Statistical Physics of Learning,Theory,2018
Stochastic Methods,Stochastic Methods,Algorithms,2018
Structured Prediction,Structured Prediction,Algorithms,2018
Submodular Optimization,Submodular Optimization,Optimization,2018
Supervised Deep Networks,Supervised Deep Networks,Deep Learning,2018
Sustainability,Sustainability,Applications,2018
Systems Biology,Systems Biology,NF,2018
Text Analysis,Text Analysis,NF,2018
Theory,Theory,Theory,2018
Time Series Analysis,Time Series Analysis,Applications,2018
Topic Models,Topic Models,Probabilistic Methods,2018
Tracking and Motion in Video,Tracking and Motion in Video,Applications,2018
Unsupervised Learning,Unsupervised Learning,Algorithms,2018
Variational Inference,Variational Inference,Probabilistic Methods,2018
Video Analysis,Video Analysis,Applications,2018
Video Segmentation,Video Segmentation,NF,2018
Virtual Environments,Virtual Environments,"Data, Challenges, Implementations, and Software",2018
Visual Features,Visual Features,NF,2018
Visualization or Exposition Techniques for Deep Networks,Visualization or Exposition Techniques for Deep Networks,Deep Learning,2018
Visual Perception,Visual Perception,Neuroscience and Cognitive Science,2018
Visual Question Answering,Visual Question Answering,Applications,2018
Visual Scene Analysis and Interpretation,Visual Scene Analysis and Interpretation,Applications,2018
Web Applications and Internet Data,Web Applications and Internet Data,Applications,2018
Active Learning,Active Learning,Algorithms,2017
Adversarial Networks,Adversarial Networks,Deep Learning,2017
Algorithms,Algorithms,Algorithms,2017
Applications,Applications,Applications,2017
Attention Models,Attention Models,Deep Learning,2017
Audio and Speech Processing,Audio and Speech Processing,Applications,2017
Auditory Perception and Modeling,Auditory Perception and Modeling,NF,2017
Bandit Algorithms,Bandit Algorithms,Algorithms,2017
Bayesian Nonparametrics,Bayesian Nonparametrics,Probabilistic Methods,2017
Bayesian Theory,Bayesian Theory,NF,2017
Belief Propagation,Belief Propagation,Probabilistic Methods,2017
Benchmarks,Benchmarks,"Data, Challenges, Implementations, and Software",2017
Biologically Plausible Deep Networks,Biologically Plausible Deep Networks,Deep Learning,2017
Boosting and Ensemble Methods,Boosting and Ensemble Methods,Algorithms,2017
Brain--Computer Interfaces and Neural Prostheses,Brain--Computer Interfaces and Neural Prostheses,Neuroscience and Cognitive Science,2017
Brain Imaging,Brain Imaging,Neuroscience and Cognitive Science,2017
Brain Mapping,Brain Mapping,Neuroscience and Cognitive Science,2017
Causal Inference,Causal Inference,Probabilistic Methods,2017
Classification,Classification,Algorithms,2017
Clustering,Clustering,Algorithms,2017
Cognitive Science,Cognitive Science,Neuroscience and Cognitive Science,2017
Collaborative Filtering,Collaborative Filtering,Algorithms,2017
Combinatorial Optimization,Combinatorial Optimization,Optimization,2017
Competitions or Challenges,Competitions or Challenges,NF,2017
Competitive Analysis,Competitive Analysis,NF,2017
"Components Analysis (e.g., CCA, ICA, LDA, PCA)","Components Analysis (e.g., CCA, ICA, LDA, PCA)",Algorithms,2017
Computational Biology and Bioinformatics,Computational Biology and Bioinformatics,Applications,2017
Computational Complexity,Computational Complexity,Theory,2017
Computational Social Science,Computational Social Science,Applications,2017
Computer Vision,Computer Vision,Applications,2017
Connectomics,Connectomics,Neuroscience and Cognitive Science,2017
Control Theory,Control Theory,Theory,2017
Convex Optimization,Convex Optimization,Optimization,2017
"Data, Challenges, Implementations, and Software","Data, Competitions, Implementations, and Software","Data, Challenges, Implementations, and Software",2017
Data Sets or Data Repositories,Data Sets or Data Repositories,"Data, Challenges, Implementations, and Software",2017
Decision and Control,Decision and Control,Reinforcement Learning and Planning,2017
Deep Autoencoders,Deep Autoencoders,Deep Learning,2017
Deep Learning,Deep Learning,Deep Learning,2017
Denoising,Denoising,Applications,2017
Density Estimation,Density Estimation,Algorithms,2017
Dialog- or Communication-Based Learning,Dialog- and/or Communication-Based Learning,Applications,2017
Distributed Inference,Distributed Inference,Probabilistic Methods,2017
Dynamical Systems,Dynamical Systems,Algorithms,2017
Efficient Inference Methods,Efficient Inference Methods,Deep Learning,2017
Efficient Training Methods,Efficient Training Methods,Deep Learning,2017
Embedding Approaches,Embedding Approaches,Deep Learning,2017
Exploration,Exploration,Reinforcement Learning and Planning,2017
"Fairness, Accountability, and Transparency","Fairness, Accountability, and Transparency",Applications,2017
Frequentist Statistics,Frequentist Statistics,Theory,2017
Game Playing,Game Playing,Applications,2017
Game Theory and Computational Economics,Game Theory and Computational Economics,Theory,2017
Gaussian Processes,Gaussian Processes,Probabilistic Methods,2017
Generative Models,Generative Models,Deep Learning,2017
Graphical Models,Graphical Models,Probabilistic Methods,2017
Hardness of Learning and Approximations,Hardness of Learning and Approximations,Theory,2017
Hardware and Systems,Hardware and Systems,Applications,2017
Hierarchical Models,Hierarchical Models,Probabilistic Methods,2017
Hierarchical RL,Hierarchical RL,Reinforcement Learning and Planning,2017
Human or Animal Learning,Human or Animal Learning,Neuroscience and Cognitive Science,2017
Hyperparameter Selection,Hyperparameter Selection,NF,2017
Image Segmentation,Image Segmentation,Applications,2017
Information Retrieval,Information Retrieval,Applications,2017
Information Theory,Information Theory,Theory,2017
Interaction-Based Deep Networks,Interaction-Based Deep Networks,Deep Learning,2017
Kernel Methods,Kernel Methods,Algorithms,2017
Large Deviations and Asymptotic Analysis,Large Deviations and Asymptotic Analysis,Theory,2017
Large Margin Methods,Large Margin Methods,NF,2017
Latent Variable Models,Latent Variable Models,Probabilistic Methods,2017
Learning Theory,Learning Theory,Theory,2017
Learning to Learn,Learning to Learn,NF,2017
Markov Decision Processes,Markov Decision Processes,Reinforcement Learning and Planning,2017
Matrix and Tensor Factorization,Matrix and Tensor Factorization,Applications,2017
MCMC,MCMC,Probabilistic Methods,2017
Memory,Memory,Neuroscience and Cognitive Science,2017
Memory-Augmented Neural Networks,Memory-Augmented Neural Networks,Deep Learning,2017
Metric Learning,Metric Learning,Algorithms,2017
Missing Data,Missing Data,Algorithms,2017
Model-Based RL,Model-Based RL,Reinforcement Learning and Planning,2017
Model Selection and Structure Learning,Model Selection and Structure Learning,Algorithms,2017
Motor Control,Motor Control,NF,2017
Multi-Agent RL,Multi-Agent RL,Reinforcement Learning and Planning,2017
Multitask and Transfer Learning,Multitask and Transfer Learning,Algorithms,2017
Music Modeling and Analysis,Music Modeling and Analysis,NF,2017
Natural Language Processing,Natural Language Processing,Applications,2017
Natural Scene Statistics,Natural Scene Statistics,NF,2017
Navigation,Navigation,Reinforcement Learning and Planning,2017
Network Analysis,Network Analysis,Applications,2017
Neural Abstract Machines,Neural Abstract Machines,NF,2017
Neural Coding,Neural Coding,Neuroscience and Cognitive Science,2017
Neuroscience,Neuroscience,Neuroscience and Cognitive Science,2017
Neuroscience and Cognitive Science,Neuroscience and cognitive science,Neuroscience and Cognitive Science,2017
Non-Convex Optimization,Non-Convex Optimization,Optimization,2017
None of the above,None of the above,NF,2017
Nonlinear Dimensionality Reduction and Manifold Learning,Nonlinear Dimensionality Reduction and Manifold Learning,Algorithms,2017
Object Detection,Object Detection,Applications,2017
Object Recognition,Object Recognition,Applications,2017
One-Shot/Low-Shot Learning Approaches,One-Shot/Low-Shot Learning Approaches,NF,2017
Online Learning,Online Learning,Algorithms,2017
Optimization,Optimization,Optimization,2017
Optimization for Deep Networks,Optimization for Deep Networks,Deep Learning,2017
Perception,Perception,Neuroscience and Cognitive Science,2017
Planning,Planning,Reinforcement Learning and Planning,2017
Predictive Models,Predictive Models,Deep Learning,2017
"Privacy, Anonymity, and Security","Privacy, Anonymity, and Security",Applications,2017
Probabilistic Methods,Probabilistic Methods,Probabilistic Methods,2017
Problem Solving,Problem Solving,Neuroscience and Cognitive Science,2017
Program Induction,Program Induction,NF,2017
Ranking and Preference Learning,Ranking and Preference Learning,Algorithms,2017
Recommender Systems,Recommender Systems,Applications,2017
Recurrent Networks,Recurrent Networks,Deep Learning,2017
Regression,Regression,Algorithms,2017
Regularization,Regularization,Theory,2017
Reinforcement Learning,Reinforcement Learning,Reinforcement Learning and Planning,2017
Reinforcement Learning and Planning,Reinforcement Learning and Planning,Reinforcement Learning and Planning,2017
Relational Learning,Relational Learning,Algorithms,2017
Representation Learning,Representation Learning,Algorithms,2017
Robotics,Robotics,Applications,2017
Semi-Supervised Learning,Semi-Supervised Learning,Algorithms,2017
Signal Processing,Signal Processing,Applications,2017
Similarity and Distance Learning,Similarity and Distance Learning,Algorithms,2017
Software Toolkits,Software Toolkits,"Data, Challenges, Implementations, and Software",2017
Source Separation,Source Separation,NF,2017
Spaces of Functions and Kernels,Spaces of Functions and Kernels,Theory,2017
Sparse Coding and Dimensionality Expansion,Sparse Coding and Dimensionality Expansion,Algorithms,2017
Sparsity and Compressed Sensing,Sparsity and Compressed Sensing,Algorithms,2017
Spectral Methods,Spectral Methods,Algorithms,2017
Speech Recognition,Speech Recognition,NF,2017
Spike Train Generation,Spike Train Generation,NF,2017
Statistical Physics of Learning,Statistical Physics of Learning,Theory,2017
Stochastic Methods,Stochastic Methods,Algorithms,2017
Structured Prediction,Structured Prediction,Algorithms,2017
Submodular Optimization,Submodular Optimization,Optimization,2017
Supervised Deep Networks,Supervised Deep Networks,Deep Learning,2017
Sustainability,Sustainability,Applications,2017
Systems Biology,Systems Biology,NF,2017
Text Analysis,Text Analysis,NF,2017
Theory,Theory,Theory,2017
Time Series Analysis,Time Series Analysis,Applications,2017
Topic Models,Topic Models,Probabilistic Methods,2017
Unsupervised Learning,Unsupervised Learning,Algorithms,2017
